key,_id,GPS.latitude,GPS.longitude,city,name,type,address,department
40,61b0ca15f6a0af4fff000137,40.9900603,21.4193769,Centar Župa,COVID CENTER 24,specialized center,38 Morning Alley,
41,61b0ca15f6a0af4fff000138,5.1886762,97.1344608,Kaom,Medical Center Enterprise,hospital,641 Mandrake Court,1
42,61b0ca15f6a0af4fff000139,78.221061,15.6469321,Longyearbyen,NHG Pharmacy (CCK Polyclinic),pharmacy,29708 Heath Court,
43,61b0ca15f6a0af4fff00013a,-7.4010055,112.5900671,Krian,NATIONAL CANCER CENTRE PHARMACY (LEVEL 1),pharmacy,37 Marquette Place,
44,61b0ca15f6a0af4fff00013b,36.5888732,138.8434833,Nakanojōmachi,Clay County Hospital,hospital,24 Lighthouse Bay Way,6
45,61b0ca15f6a0af4fff00013c,16.9905258,121.637093,Bangui,The Japanese Association Clinic Singapore,pharmacy,385 Fieldstone Alley,
46,61b0ca15f6a0af4fff00013d,14.6135888,121.0957927,De la Paz,Highlands Medical Center,hospital,2411 Orin Point,1
47,61b0ca15f6a0af4fff00013e,17.8964345,-62.852201,Gustavia,CGH Pharmacy B,pharmacy,98 Ohio Street,
48,61b0ca15f6a0af4fff00013f,32.7986666,-5.3193997,Kerrouchen,Callahan Eye Hospital,hospital,801 Shoshone Pass,9
49,61b0ca15f6a0af4fff000140,35.370505,103.708354,Kangle,St Vincent's East,hospital,35058 Gina Alley,10
50,61b0ca15f6a0af4fff000141,29.714699,118.337521,Huanshan,COVID CENTER 9,specialized center,89043 Springview Court,
51,61b0ca15f6a0af4fff000142,57.6817979,11.9836846,Göteborg,Marshall Medical Center South,hospital,161 Bunker Hill Terrace,5
52,61b0ca15f6a0af4fff000143,30.0130557,31.2088526,Al Jīzah,COVID CENTER 4,specialized center,94549 Kropf Crossing,
53,61b0ca15f6a0af4fff000144,18.8589196,-97.0909561,Adolfo Lopez Mateos,Evergreen Medical Center,hospital,44837 Hauk Center,4
54,61b0ca15f6a0af4fff000145,40.2982408,70.419388,Konibodom,University Of South Alabama Medical Center,hospital,5488 Independence Alley,6
55,61b0ca15f6a0af4fff000146,39.630867,118.180193,Tangzha,Cullman Regional Medical Center,hospital,4 Bunker Hill Circle,5
56,61b0ca15f6a0af4fff000147,36.77549,119.219734,Hanting,MOHAMED MUSTAFA & SAMSUDDIN CO PTE LTD (MUSTAFA CENTRE),pharmacy,235 Pepper Wood Court,
57,61b0ca15f6a0af4fff000148,32.7087439,-97.3617845,Fort Worth,University Of South Alabama Medical Center,hospital,4067 Warrior Circle,2
58,61b0ca15f6a0af4fff000149,28.2412186,112.9513185,Xiangrong,Evergreen Medical Center,hospital,7263 Warbler Alley,3
59,61b0ca15f6a0af4fff00014a,53.5862715,16.3876584,Łubowo,PARKWAY EAST HOSPITAL PHARMACY,pharmacy,63749 Kipling Center,
60,61b0ca15f6a0af4fff00014b,40.0672874,20.1045229,Gjirokastër,Tan Tock Seng Hospital (Pharmacy Level 2),pharmacy,9 Crowley Court,
61,61b0ca15f6a0af4fff00014c,44.3239335,44.994265,Kayasula,St. Joseph's Hospital And Medical Center,hospital,1 Summit Drive,6
62,61b0ca15f6a0af4fff00014d,-6.4534018,-39.6105142,Jucás,COVID CENTER 29,specialized center,411 Bay Lane,
63,61b0ca15f6a0af4fff00014e,36.1180248,137.9533657,Shiojiri,ST LUKE'S HOSPITAL BLOCK A,pharmacy,1 Beilfuss Parkway,
64,61b0ca15f6a0af4fff00014f,31.7566264,-106.4852997,El Paso,North Baldwin Infirmary,hospital,573 Westridge Plaza,6
65,61b0ca16f6a0af4fff000150,30.107387,121.402682,Duhu,Pacific Pharmacy Pte Ltd,pharmacy,3 Mariners Cove Pass,
66,61b0ca16f6a0af4fff000151,-9.4020529,34.0195827,Kyela,Highlands Medical Center,hospital,134 Elka Lane,2
67,61b0ca15f6a0af5039000131,30.638674,119.680353,Anjie,St. Joseph's Hospital And Medical Center,hospital,7960 Erie Place,4
68,61b0ca15f6a0af5039000132,27.817808,114.917346,Xinyu,Child Guidance Clinic Health Promotion Board,pharmacy,2 Northview Alley,
69,61b0ca15f6a0af5039000133,-14.2713338,50.1678121,Sambava,Marshall Medical Center South,hospital,00 Porter Avenue,5
70,61b0ca15f6a0af5039000134,28.408233,112.932334,Qiaoyi,Community Wellness Clinic Queenstown Pharmacy,pharmacy,2 Oriole Park,
71,61b0ca15f6a0af5039000135,46.5736928,108.3006134,Bayantal,Fairbanks Memorial Hospital,hospital,569 Sutteridge Place,6
72,61b0ca15f6a0af5039000136,63.2803099,118.3618985,Nyurba,Lake Martin Community Hospital,hospital,8508 Monterey Street,4
73,61b0ca15f6a0af5039000137,10.2007985,-64.6334643,Puerto La Cruz,Greene County Hospital,hospital,76647 Blackbird Court,3
74,61b0ca15f6a0af5039000138,-28.3833642,-53.929557,Ijuí,COVID CENTER 9,specialized center,031 Dahle Pass,
75,61b0ca15f6a0af5039000139,12.5450478,-87.1659731,El Realejo,COVID CENTER 58,specialized center,21 Algoma Junction,
76,61b0ca15f6a0af503900013a,8.3487476,-80.5924449,El Cortezo,Manapharma Pharmacy,pharmacy,5666 Forest Dale Hill,
77,61b0ca15f6a0af503900013b,14.5424287,121.0343936,Balete,COVID CENTER 31,specialized center,28199 Kings Alley,
78,61b0ca15f6a0af503900013c,13.7401075,-87.7135671,Aramecina,Pickens County Medical Center,hospital,54494 Lukken Center,8
79,61b0ca15f6a0af503900013d,40.6236334,-8.503294,Alquerubim,Russell Medical Center,hospital,2 Northfield Plaza,3
80,61b0ca15f6a0af503900013e,26.433417,110.856622,Xinning,Evergreen Medical Center,hospital,9 Ryan Park,8
81,61b0ca15f6a0af503900013f,54.0114023,55.8925281,Tolbazy,Providence Seward Hospital,hospital,2834 Hintze Hill,3
82,61b0ca15f6a0af5039000140,53.0985458,6.0694,Drachten,Nishino Pharmacy (Shaw House),pharmacy,8837 Lakewood Gardens Terrace,
83,61b0ca15f6a0af5039000141,3.1523104,101.7178316,Kuala Lumpur,Wiregrass Medical Center,hospital,60 Oneill Crossing,10
84,61b0ca15f6a0af5039000142,50.5079152,16.0789406,Rtyně v Podkrkonoší,Yuma Regional Medical Center,hospital,37 Butternut Park,2
85,61b0ca15f6a0af5039000143,16.4336105,120.3435365,Bacungan,L V Stabler Memorial Hospital,hospital,75 Northport Crossing,3
86,61b0ca15f6a0af5039000144,44.9248682,38.0110797,Novoukrainskiy,WATSON'S PERSONAL CARE STORES PTE LTD (WATERWAY POINT),pharmacy,90405 Randy Circle,
87,61b0ca15f6a0af5039000145,39.9602601,-83.0092803,Columbus,Pharmacy Services Centre NHG (Blk 9),pharmacy,155 Milwaukee Drive,
88,61b0ca15f6a0af5039000146,49.7001031,39.8634775,Kantemirovka,PARKWAY EAST HOSPITAL PHARMACY,pharmacy,195 Twin Pines Way,
89,61b0ca15f6a0af5039000147,3.2359747,98.6875659,Tanjung Timur,MUSTAFA PHARMACY,pharmacy,3608 Linden Avenue,
90,61b0ca15f6a0af5039000148,-7.6832323,110.670528,Ceper,WOODS PHARMACY PTE LTD,pharmacy,7 Sheridan Circle,
91,61b0ca15f6a0af5039000149,34.6399443,50.8759419,Qom,COVID CENTER 17,specialized center,53 Loftsgordon Point,
92,61b0ca15f6a0af503900014a,12.4537943,102.2290442,Khlung,Gadsden Regional Medical Center,hospital,8 Myrtle Trail,7
93,61b0ca15f6a0af503900014b,40.323749,-8.7980385,Praia da Tocha,Medical West,hospital,4 Blaine Plaza,5
94,61b0ca15f6a0af503900014c,36.649364,51.4887307,Nowshahr,COVID CENTER 44,specialized center,288 Redwing Junction,
95,61b0ca15f6a0af503900014d,50.7852989,16.164006,Boguszów-Gorce,Rmc Jacksonville,hospital,2 Dayton Center,2
96,61b0ca15f6a0af503900014e,48.749354,2.480322,Limeil-Brévannes,COVID CENTER 23,specialized center,0 Heffernan Junction,
97,61b0ca15f6a0af503900014f,-32.9377962,-60.6961061,La Rioja,Tan Tock Seng Hospital (Pharmacy Level 2),pharmacy,42636 4th Terrace,
98,61b0ca15f6a0af5039000150,25.4765601,-108.0887656,Los Angeles,COVID CENTER 30,specialized center,6 Old Gate Plaza,
99,61b0ca15f6a0af5039000151,15.8229771,120.2604675,Pogonsili,South Peninsula Hospital,hospital,6902 Saint Paul Plaza,7
100,61b0ca15f6a0af4fd000012b,41.3044511,-8.5943326,Quintão,Alaska Regional Hospital,hospital,675 Buena Vista Plaza,2
101,61b0ca15f6a0af4fd000012c,18.791255,109.410699,Maodao,UrbanRx Compounding Pharmacy Pte Ltd,pharmacy,035 Evergreen Circle,
102,61b0ca15f6a0af4fd000012d,2.9716241,45.5334515,Mahaddayweyne,UrbanRx Compounding Pharmacy Pte Ltd,pharmacy,469 Homewood Plaza,
103,61b0ca15f6a0af4fd000012e,-8.7367925,116.4872482,Bungtiang Barat,COVID CENTER 49,specialized center,29311 Melby Circle,
104,61b0ca15f6a0af4fd000012f,46.1998296,47.9221616,Volgo-Kaspiyskiy,Specialist Compounding Pharmacy Pte Ltd,pharmacy,483 Warbler Park,
105,61b0ca15f6a0af4fd0000130,17.3595778,120.4571858,Suso,WELCIA-BHG LOT ONE,pharmacy,214 Melrose Terrace,
106,61b0ca15f6a0af4fd0000131,14.7976183,45.7189412,Bayḩān,COVID CENTER 26,specialized center,2 Sycamore Junction,
107,61b0ca15f6a0af4fd0000132,40.23921,116.12895,Nankou,Farrer Park Pharmacy,pharmacy,60 Morning Circle,
108,61b0ca15f6a0af4fd0000133,26.393274,118.502373,Zhanghuban,COVID CENTER 38,specialized center,20 Acker Trail,
109,61b0ca15f6a0af4fd0000134,-6.3385652,106.9447146,Jatisari,Shelby Baptist Medical Center,hospital,13 Golden Leaf Point,2
110,61b0ca15f6a0af4fd0000135,36.4320046,127.3809362,Songgang-dong,Essentials Pharmacy,pharmacy,13788 Eagle Crest Way,
111,61b0ca15f6a0af4fd0000136,13.7825775,121.0492638,Bolboc,Jurong Community Hospital Pharmacy,pharmacy,14 Columbus Way,
112,61b0ca15f6a0af4fd0000137,31.627447,121.022581,Hengli,COVID CENTER 31,specialized center,198 Di Loreto Pass,
113,61b0ca15f6a0af4fd0000138,-6.8654713,111.6571293,Bader,NHG Pharmacy (CCK Polyclinic),pharmacy,07 Transport Plaza,
114,61b0ca15f6a0af4fd0000139,-16.3753091,-58.4059227,San Matías,Bartlett Regional Hospital,hospital,0995 Acker Lane,1
115,61b0ca15f6a0af4fd000013a,28.138525,109.326383,La’ershan,WATSONS PERSONAL CARE STORES (TIONG BAHRU PLAZA),pharmacy,9396 8th Way,
116,61b0ca15f6a0af4fd000013b,31.499202,98.21843,Jomda,COVID CENTER 15,specialized center,58200 Autumn Leaf Parkway,
117,61b0ca15f6a0af4fd000013c,14.6333181,-90.6703399,San Lucas Sacatepéquez,COVID CENTER 38,specialized center,500 Prentice Road,
118,61b0ca15f6a0af4fd000013d,0.0090686,103.5089907,Khairiahmandah,Banner - University Medical Center Phoenix,hospital,5310 Wayridge Street,10
119,61b0ca15f6a0af4fd000013e,13.5570718,-88.3494328,Lolotique,ALPS PHARMACY,pharmacy,56 Old Shore Pass,
120,61b0ca16f6a0af4fd000013f,59.3356305,18.3861127,Gustavsberg,NATIONAL CANCER CENTRE PHARMACY (LEVEL 3),pharmacy,17212 Crescent Oaks Terrace,
121,61b0ca16f6a0af4fd0000140,53.5234017,27.8299056,Prawdzinski,Evergreen Medical Center,hospital,529 Maywood Parkway,7
122,61b0ca16f6a0af4fd0000141,58.2834894,12.2858206,Trollhättan,D W Mcmillan Memorial Hospital,hospital,010 Parkside Junction,2
123,61b0ca16f6a0af4fd0000142,-6.3811392,107.1854181,Sukamahi Satu,Russellville Hospital,hospital,1746 Anderson Trail,10
124,61b0ca16f6a0af4fd0000143,41.7371087,20.3241791,Arras,COVID CENTER 35,specialized center,36 Tennessee Plaza,
125,61b0ca16f6a0af4fd0000144,43.88719,81.621986,Yuqunweng,Verde Valley Medical Center,hospital,4139 Clyde Gallagher Center,9
126,61b0ca16f6a0af4fd0000145,14.7673872,-16.685136,Khombole,Mizell Memorial Hospital,hospital,83598 Bluestem Avenue,9
127,61b0ca16f6a0af4fd0000146,51.9309719,19.190298,Parzęczew,Dekalb Regional Medical Center,hospital,33885 Lukken Drive,4
128,61b0ca16f6a0af4fd0000147,12.8371919,-4.9221114,Kinmparana,Russellville Hospital,hospital,5130 Barnett Plaza,5
129,61b0ca16f6a0af4fd0000148,5.9031249,0.9868468,Keta,St Vincent's Birmingham,hospital,52 Merry Place,9
130,61b0ca16f6a0af4fd0000149,-6.9888872,106.9535691,Cijangkar,National Addiction Management Services (NAMS) Clinic Pharmacy,pharmacy,342 Leroy Point,
131,61b0ca16f6a0af4fd000014a,14.299475,-88.1706047,La Esperanza,MUSTAFA PHARMACY,pharmacy,118 Evergreen Drive,
132,61b0ca16f6a0af4fd000014b,52.695844,62.5884412,Tobol,COVID CENTER 24,specialized center,5 Transport Crossing,
133,61b0ca15f6a0af501e00012b,51.90218,19.6055101,Stryków,Choctaw General Hospital,hospital,8674 Vidon Junction,2
134,61b0ca15f6a0af501e00012c,-6.2020256,105.8466437,Bulakan,St Luke's Medical Center,hospital,5 Bartelt Lane,10
135,61b0ca15f6a0af501e00012d,-9.8798746,124.6358702,Nunleu,NATIONAL UNIVERSITY HOSPITAL (S) PTE LTD (RETAIL PHARMACY),pharmacy,9 North Plaza,
136,61b0ca15f6a0af501e00012e,41.6690275,48.3784919,Gaptsakh,South Baldwin Regional Medical Center,hospital,611 Londonderry Road,3
137,61b0ca15f6a0af501e00012f,47.1892329,8.7108197,Lian,Baptist Medical Center East,hospital,27196 Prairie Rose Avenue,3
138,61b0ca15f6a0af501e000130,49.0261841,1.1518478,Évreux,WATSON'S PERSONAL CARE STORES PTE LTD (WATERWAY POINT),pharmacy,3 Maple Wood Center,
139,61b0ca15f6a0af501e000131,-20.7430332,-46.6096926,Passos,Shelby Baptist Medical Center,hospital,36150 Sherman Drive,3
140,61b0ca15f6a0af501e000132,51.7173795,15.4240467,Brzeźnica,Mt Edgecumbe Hospital,hospital,2 Lakewood Center,2
141,61b0ca15f6a0af501e000133,52.06302,37.40518,Vyshneye Dolgoye,Monroe County Hospital,hospital,57737 Golf Lane,5
142,61b0ca15f6a0af501e000134,49.5048872,5.6944757,Longwy,Fairbanks Memorial Hospital,hospital,56767 Luster Pass,1
143,61b0ca15f6a0af501e000135,53.903083,10.7533775,Lübeck,Washington County Hospital,hospital,84570 East Street,2
144,61b0ca15f6a0af501e000136,41.2270631,-7.4666688,Castedo,Flagstaff Medical Center,hospital,1 Colorado Center,2
145,61b0ca15f6a0af501e000137,46.3194856,-0.4546217,Niort,COVID CENTER 7,specialized center,35285 Rutledge Court,
146,61b0ca15f6a0af501e000138,8.3537158,-70.5770632,Ciudad Bolivia,National University Hospital (s) Pte Ltd (Pharmacy @ NCIS),pharmacy,4522 Starling Court,
147,61b0ca15f6a0af501e000139,41.56,-73.05,Waterbury,Clinic B Pharmacy,pharmacy,6 Bonner Street,
148,61b0ca15f6a0af501e00013a,17.5946213,120.6194139,Bangued,SINGHEALTH POLY-OUTRAM,pharmacy,7864 Norway Maple Lane,
149,61b0ca15f6a0af501e00013b,32.010214,119.606439,Danyang,COVID CENTER 26,specialized center,6 Nova Plaza,
150,61b0ca15f6a0af501e00013c,-21.4152377,-50.0773225,Penápolis,Fayette Medical Center,hospital,99 Gulseth Road,9
151,61b0ca15f6a0af501e00013d,29.1560917,16.1463317,Waddān,Vivahealth Pharmacy,pharmacy,2 Grayhawk Crossing,
152,61b0ca15f6a0af501e00013e,51.4393178,18.3993464,Klonowa,MT ALVERNIA HOSPITAL RETAIL PHARMACY,pharmacy,9 Tomscot Avenue,
153,61b0ca15f6a0af501e00013f,-1.658501,29.2204548,Goma,Canyon Vista Medical Center,hospital,646 Canary Plaza,2
154,61b0ca15f6a0af501e000140,46.1740537,45.3471492,Yashkul’,NATIONAL CANCER CENTRE PHARMACY (LEVEL 1),pharmacy,42 Warner Court,
155,61b0ca15f6a0af501e000141,46.6669865,3.590421,Valence,Tan Tock Seng Hospital (Pharmacy Level 2),pharmacy,77544 Grasskamp Terrace,
156,61b0ca15f6a0af501e000142,30.145729,120.589457,Ma’an,Medical Center Enterprise,hospital,44 Delladonna Court,10
157,61b0ca15f6a0af501e000143,-6.9158,112.5541,Krajan Pangkah Kulon,COVID CENTER 27,specialized center,62 Acker Park,
158,61b0ca15f6a0af501e000144,52.55106,18.49897,Piotrków Kujawski,MOHAMED MUSTAFA & SAMSUDDIN CO PTE LTD (MUSTAFA CENTRE),pharmacy,85 Evergreen Trail,
159,61b0ca15f6a0af501e000145,23.718461,113.734823,Liangkou,Tan Tock Seng Hospital (Outpatient & Retail Pharmacy),pharmacy,221 Bowman Road,
160,61b0ca15f6a0af501e000146,30.786657,108.761889,Wailang,Tanner Medical Center-east Alabama,hospital,57691 Debs Place,7
161,61b0ca15f6a0af501e000147,26.641315,100.222545,Baishi,Alaska Regional Hospital,hospital,8861 Columbus Center,9
162,61b0ca16f6a0af501e000148,-3.9389,134.9696,Kiruru,National University Hospital - Kent Ridge Wing Pharmacy,pharmacy,59766 La Follette Court,
163,61b0ca16f6a0af501e000149,52.2467951,15.800102,Zbąszynek,Community Hospital Inc,hospital,107 Holmberg Pass,4
164,61b0ca16f6a0af501e00014a,55.2259313,36.6083916,Yermolino,Providence Valdez Medical Center,hospital,5 Portage Court,2
165,61b0ca16f6a0af501e00014b,45.8836384,-73.2813569,Lavaltrie,Alexandra Hospital Retail Pharmacy,pharmacy,9032 Shopko Crossing,
166,61b0ca15f6a0af4fe900012b,23.012915,104.394157,Maguan,Pharmacy@IB CGH (The Integrated Building),pharmacy,668 Pepper Wood Court,
167,61b0ca15f6a0af4fe900012c,59.905383,10.7674925,Oslo,National University Hospital - Kent Ridge Wing Pharmacy,pharmacy,9164 Kim Parkway,
168,61b0ca15f6a0af4fe900012d,45.8486646,-66.4812859,Oromocto,Atmore Community Hospital,hospital,09687 Pond Plaza,5
169,61b0ca15f6a0af4fe900012e,49.7260952,84.2733064,Zyryanovsk,COVID CENTER 15,specialized center,65 Anthes Circle,
170,61b0ca15f6a0af4fe900012f,49.9846292,20.293343,Targowisko,PHARMACY @ CGH MEDICAL CENTRE,pharmacy,8 Sauthoff Pass,
171,61b0ca15f6a0af4fe9000130,3.8366437,-75.2245693,Ortega,COVID CENTER 54,specialized center,416 Karstens Circle,
172,61b0ca15f6a0af4fe9000131,-7.2310934,108.1324906,Sukasetia,Medical Center Enterprise,hospital,0639 Merchant Road,4
173,61b0ca15f6a0af4fe9000132,39.9311729,-104.9739333,Denver,Bibb Medical Center,hospital,28 Red Cloud Way,8
174,61b0ca15f6a0af4fe9000133,53.49417,-8.83565,Tuam,Crestwood Medical Center,hospital,3500 Anderson Place,7
175,61b0ca15f6a0af4fe9000134,44.8601051,78.7628605,Tekeli,Clinic B Pharmacy,pharmacy,8 Logan Street,
176,61b0ca15f6a0af4fe9000135,26.4524746,87.271781,Birātnagar,MOUNT ELIZABETH NOVENA HOSPITAL PHARMACY,pharmacy,871 Morningstar Terrace,
177,61b0ca15f6a0af4fe9000136,35.4660512,136.236802,Takatsuki,COVID CENTER 6,specialized center,84 Center Crossing,
178,61b0ca15f6a0af4fe9000137,22.2724243,105.8804085,Phủ Thông,Russell Medical Center,hospital,65 Larry Circle,7
179,61b0ca15f6a0af4fe9000138,7.44891,-71.304474,Santa Cruz de Guacas,MOHAMED MUSTAFA & SAMSUDDIN CO PTE LTD (MUSTAFA CENTRE),pharmacy,6334 Mockingbird Street,
180,61b0ca15f6a0af4fe9000139,43.1619639,45.1982495,Bamut,Bullock County Hospital,hospital,148 Dapin Place,5
181,61b0ca15f6a0af4fe900013a,5.7179173,7.0821162,Amaigbo,Walker Baptist Medical Center,hospital,84809 Dunning Court,7
182,61b0ca15f6a0af4fe900013b,46.8619132,42.1175494,Orlovskiy,Thomson Medical Centre,pharmacy,3 Forest Pass,
183,61b0ca15f6a0af4fe900013c,59.406891,18.0157421,Danderyd,COVID CENTER 50,specialized center,44 Clove Park,
184,61b0ca15f6a0af4fe900013d,23.119924,113.309317,Hengshitang,CONCORD HEALTHCARE RETAIL PHARMACY,pharmacy,98 5th Road,
185,61b0ca15f6a0af4fe900013e,35.1654999,45.9896078,Ḩalabjah,North Baldwin Infirmary,hospital,68 Buhler Point,1
186,61b0ca15f6a0af4fe900013f,38.7508367,-9.2843236,Tercena,COVID CENTER 28,specialized center,6 Maywood Crossing,
187,61b0ca15f6a0af4fe9000140,13.6868163,-89.1181849,Ilopango,NATIONAL SKIN CENTRE (S) PTE LTD (PHARMACY),pharmacy,55 Ryan Road,
188,61b0ca15f6a0af4fe9000141,25.639488,115.432374,Pangushan,Mount Elizabeth Hospital,pharmacy,913 Mallard Center,
189,61b0ca15f6a0af4fe9000142,33.8787981,10.850791,Houmt Souk,Marshall Medical Center South,hospital,31 Prairie Rose Plaza,6
190,61b0ca15f6a0af4fe9000143,14.2712301,-90.0375295,Quesada,COVID CENTER 15,specialized center,07191 Rockefeller Hill,
191,61b0ca15f6a0af4fe9000144,39.0427929,-9.193864,Ribaldeira,ST LUKE'S HOSPITAL BLOCK A,pharmacy,05 Judy Parkway,
192,61b0ca15f6a0af4fe9000145,41.5725857,-8.129315,Penelas,COVID CENTER 5,specialized center,76 Nobel Street,
193,61b0ca15f6a0af4fe9000146,21.428436,110.869567,Miyang,Pacific Pharmacy Pte Ltd,pharmacy,79 5th Crossing,
194,61b0ca15f6a0af4fe9000147,9.1505664,-11.3913379,Alikalia,MOHAMED MUSTAFA & SAMSUDDIN CO PTE LTD (MUSTAFA CENTRE),pharmacy,067 Cottonwood Street,
195,61b0ca15f6a0af4fe9000148,33.8989467,35.4733996,Ra’s Bayrūt,THE DENTAL PHARM,pharmacy,1029 Mcbride Park,
196,61b0ca15f6a0af4fe9000149,57.6540663,59.5033087,Visim,Troy Regional Medical Center,hospital,5833 Namekagon Junction,8
197,61b0ca15f6a0af4fe900014a,37.146294,111.778818,Xiaoyi,Jackson Medical Center,hospital,0 Atwood Street,5
198,61b0ca15f6a0af4fe900014b,45.7039688,5.9492762,Aix-les-Bains,Lake Martin Community Hospital,hospital,183 Gale Crossing,6
199,61b0ca15f6a0af503300012b,-9.4456381,159.9728999,Honiara,COVID CENTER 10,specialized center,972 Hooker Alley,
